Bill No.,Bill Year,Short Title of Bill,Bill Category,Ministry,Act No.,Date of Introduction,Date of Passing in Rajya Sabha,Date of Passing in Lok Sabha,Date of Assented,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL for Bill Errata
XXVI,2010,"THE COST AND WORKS ACCOUNTANTS (AMENDMENT) BILL, 2011",Ordinary Bill,CORPORATE AFFAIRS,10 of 2012,28/4/2010,12/12/2011,19/12/2011,12/1/2012,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/cost work-Tobe-E.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/3836LS[1].pdf,NA
XXV,2010,"The Personal Laws (Amendment) Bill, 2010",Ordinary Bill,LAW AND JUSTICE,30 of 2010,22/4/2010,17/8/2010,21/8/2010,31/8/2010,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Persnal law bill.pdf,"http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XXV-F, Personal Laws.pdf",NA
XXIV,2010,"The Copyright (Amendment) Bill, 2012",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,27 of 2012,19/4/2010,17/5/2012,22/5/2012,7/6/2012,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/copyright.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XXIVF_2010_LS.pdf,NA
XXII,2010,"The Chemical Weapons Convention (Amendment) Bill, 2012",Ordinary Bill,CHEMICALS AND FERTILIZERS,36 of 2012,16/4/2010,3/5/2012,30/8/2012,11/9/2012,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/1498rs.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XXII_F_2010.pdf,NA
XIX,2010,"The Right of Children to Free and Compulsory Education (Amendment) Bill, 2012",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,30 of 2012,16/4/2010,24/4/2012,9/5/2012,19/6/2012,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/1446rs.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XIXF_2010_LS.pdf,NA
XX,2010,"The National Council for Teacher Education (Amendment) Bill, 2011",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,18 of 2011,16/4/2010,25/8/2011,2/9/2011,12/10/2011,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/1444rs.pdf,NA,http://164.100.24.219/BillsTexts/RSBillTexts/ERRATA/corrigendum_ Teacher.doc
XLVII,2009,"The Foreign Trade (Development and Regulation) Amendment Bill, 2010",Ordinary Bill,COMMERCE AND INDUSTRY,25 of 2010,25/11/2009,9/8/2010,NA,19/8/2010,Assented,"http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/foreign trade , 09.pdf","http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XLVII-F, Foreign Trade.pdf",NA
XX,2009,"The Constitution (Ninety-fifth Amendment) Bill, 2009",Constitutional Amendment Bill,LAW AND JUSTICE,NA,30/7/2009,3/8/2009,NA,18/1/2010,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/const (109).pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XX-F OF 2009 Const 95th.pdf,NA
VII,2009,"The National Commission for Heritage Sites Bill, 2009",Ordinary Bill,TOURISM AND CULTURE,NA,26/2/2009,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/heritage.pdf,NA,NA
VI,2009,"The Industrial Disputes (Amendment) Bill, 2010",Ordinary Bill,LABOUR AND EMPLOYMENT,24 of 2010,26/2/2009,3/8/2010,NA,18/8/2010,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/industrial dispute.pdf,"http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/VI-F, Industrial Disputes.pdf",NA
LXIX,2008,"The Railway Property (Unlawful Possession) Amendment Bill, 2012",Ordinary Bill,RAILWAYS,25 of 2012,18/12/2008,22/12/2011,18/5/2012,2/6/2012,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/RAILWAY PROPERTY.pdf,NA,NA
XXXIX,2008,"The Mines and Minerals (Development and Regulation) Amendment Bill, 2010",Ordinary Bill,MINES,NA,17/10/2008,17/8/2010,NA,NA,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/mines & minrals To be.pdf,"http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XXXIX-F, Mines and Minerals.pdf",NA
LXXI,2008,"The Central Industrial Security Force (Amendment) Bill, 2008",Ordinary Bill,HOME AFFAIRS,22 of 2009,18/12/2008,19/2/2009,25/2/2009,16/3/2009,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/CISF.pdf,NA,NA
LXXIII,2008,"The South Asian University Bill, 2008",Ordinary Bill,EXTERNAL AFFAIRS,8 of 2009,19/12/2008,22/12/2008,23/12/2008,11/1/2009,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/south asian univ .pdf,NA,NA
LXXIV,2008,"The Scheduled Castes and the Scheduled Tribes (Reservation in Posts and Services) Bill, 2008",Ordinary Bill,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",NA,22/12/2008,23/12/2008,NA,NA,Lapsed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/SC ST.pdf,NA,NA
LXXII,2008,"The Insurance Laws (Amendment) Bill, 2008",Ordinary Bill,FINANCE,NA,22/12/2008,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Insurance Laws.pdf,NA,NA
LXVI,2008,"The Protection and Utilisation of Public Funded Intellectual Property Bill, 2008",Ordinary Bill,SCIENCE AND TECHNOLOGY,NA,15/12/2008,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/protection utlisation To Be.pdf,NA,NA
LXV,2008,"The Right of Children to Free and Compulsory Education Bill, 2009",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,35 of 2009,15/12/2008,20/7/2009,4/8/2009,26/8/2009,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/right free education.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/Education LXV-F of 2008.pdf,NA
LXVIII,2008,"The Telecom Regulatory Authority of India (Amendment) Bill, 2008",Ordinary Bill,COMMUNICATIONS AND INFORMATION TECHNOLOGY,NA,15/12/2008,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/TRAI 08.pdf,NA,NA
LIII,2008,"The Legal Metrology Bill, 2009",Ordinary Bill,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",1 of 2010,24/10/2008,1/12/2009,NA,13/1/2010,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LEGAL METROLOGY BILL08.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/LIII-F OF 2009 Metrology.pdf,NA
LIV,2008,"The Post-Graduate Institute of Medical Education and Research, Chandigarh (Amendment) Bill, 2008",Ordinary Bill,HEALTH AND FAMILY WELFARE,3 of 2009,24/10/2008,19/12/2008,23/12/2008,7/1/2009,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/PGI 08.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/LIV OF 2008.pdf,NA
LII,2008,"The Representation of the People (Amendment) Bill, 2009",Ordinary Bill,LAW AND JUSTICE,41 of 2009,24/10/2008,25/11/2009,9/12/2009,22/12/2009,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/RP (IInd Amd) 08.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/LII-F OF 2008 RPA.pdf,NA
XLVI,2008,"The Limited Liability Partnership Bill, 2008",Ordinary Bill,CORPORATE AFFAIRS,6 of 2009,20/10/2008,24/10/2008,12/12/2008,7/1/2009,Assented,"http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LIMITED LIABILTY , 08.pdf",http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XLVI OF 2008.pdf,NA
XLVIII,2008,"THE PESTICIDES MANAGEMENT BILL, 2008",Ordinary Bill,AGRICULTURE,NA,21/10/2008,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/PESTICIDES 08.pdf,NA,NA
XLVII,2008,"THE GRAM NYAYALAYAS BILL, 2008",Ordinary Bill,LAW AND JUSTICE,4 of 2009,21/10/2008,17/12/2008,22/12/2008,7/1/2009,Assented,"http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/GRAM NYAYALAYAS BILL, 2008.pdf",http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XLVII OF 2008.pdf,NA
XLIV,2008,"THE PLANTATIONS LABOUR (AMENDMENT) BILL, 2010",Ordinary Bill,LABOUR AND EMPLOYMENT,NA,21/10/2008,30/4/2010,NA,NA,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/plantation labour 08.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/Plantations (xliv F of 2008).pdf,NA
XXXI,2008,"The Prevention of Money-Laundering (Amendment) Bill, 2009",Ordinary Bill,FINANCE,NA,17/10/2008,19/2/2009,NA,NA,Passed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/money 08.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XXXI-F of 2008.pdf,NA
XXX,2008,"The Constitution (One Hundred and Eighth Amendment) Bill, 2010",Constitutional Amendment Bill,LAW AND JUSTICE,NA,6/5/2008,NA,NA,NA,Lapsed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/women res bill.pdf,NA,NA
XIX,2008,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2008",Ordinary Bill,TRIBAL AFFAIRS,14 of 2008,17/3/2008,19/3/2008,19/3/2008,1/4/2008,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Constitution (ST).pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/ST Order XIX of 2008.pdf,NA
XVIII,2008,"The Central Universities Laws (Amendment) Bill, 2008",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,25 of 2008,11/3/2008,25/4/2008,23/10/2008,5/12/2008,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Central Univ Laws Bill 08.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/Central Univ Act XVIII of 2005.pdf,NA
XV,2008,"The Food Safety and Standards (Amendment) Bill, 2008",Ordinance Replacing Bill,HEALTH AND FAMILY WELFARE,13 of 2008,3/3/2008,13/3/2008,18/3/2008,28/3/2008,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Food Safetyrs.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/Food Safety XV 2008.pdf,NA
LXVII,2007,"The Unorganised Workers' Social Security Bill, 2008.",Ordinary Bill,LABOUR AND EMPLOYMENT,33 of 2008,10/9/2007,23/10/2008,17/12/2008,30/12/2008,Assented,NA,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/LXVII-F of 2007.pdf,NA
LXVI,2007,"The Rajiv Gandhi Institute of Petroleum Technology Bill, 2007",Ordinary Bill,PETROLEUM AND NATURAL GAS,54 of 2007,7/9/2007,30/11/2007,3/12/2007,20/12/2007,Assented,NA,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/RGI of Petroleum.pdf,NA
LXXX,2007,"Constitution (Scheduled Tribes) (Union Territories) Order (Amendment) Bill, 2008",Ordinary Bill,TRIBAL AFFAIRS,NA,27/11/2007,22/12/2008,23/12/2008,7/1/2009,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Const (Sc Tribes).pdf,NA,NA
XL,2007,"The Private Detective Agencies (Regulation) Bill, 2007",Ordinary Bill,HOME AFFAIRS,NA,13/8/2007,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Private Detective.pdf,NA,NA
LVIII,2007,"The Indira Gandhi National Tribal University Bill, 2007",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,52 of 2007,23/8/2007,3/12/2007,5/12/2007,20/12/2007,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/Indira Gandhi.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/Indira Gandhi.pdf,NA
LVII,2007,"The Drugs and Cosmetics (Amendment) Bill, 2007.",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,21/8/2007,NA,NA,NA,Pending,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/DRUGS BILL 07.pdf,NA,NA
XXXIX,2007,"The Collection of Statistics Bill, 2008",Ordinary Bill,STATISTICS AND PROGRAMME IMPLEMENTATION,7 of 2009,17/5/2007,19/12/2008,23/12/2008,7/1/2009,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/2279rs.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/XXXIX OF 2007.pdf,NA
XXXVIII,2007,"The Maternity Benefit (Amendment) Bill, 2008",Ordinary Bill,LABOUR,15 of 2008,14/5/2007,27/2/2008,19/3/2008,1/4/2008,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/2185RS.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/Maternity XXXVIII of 2007.pdf,NA
XXXVI,2007,"The Motor Vehicles (Amendment) Bill, 2012",Ordinary Bill,"SHIPPING, ROAD TRANSPORT AND HIGHWAYS",NA,15/5/2007,8/5/2012,NA,NA,Lapsed,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/2139rs.pdf,NA,NA
XXXVII,2007,"The Gram Nayayalayas Bill, 2007.",Ordinary Bill,LAW AND JUSTICE,NA,15/5/2007,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/2141rs.pdf,NA,NA
XXVI,2007,"The Seamen's Provident Fund (Amendment) Bill, 2007",Ordinary Bill,"SHIPPING, ROAD TRANSPORT AND HIGHWAYS",NA,3/5/2007,NA,NA,NA,Withdrawn,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/2391rs.pdf,NA,NA
XIII,2007,"The Mizoram University (Amendment) Bill, 2007",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,24 of 2007,12/3/2007,15/5/2007,17/5/2007,28/5/2007,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/833RS.pdf,NA,NA
XII,2007,"The Jawaharlal Institute of Post-Graduate Medical Education and Research, Puducherry Bill,2008",Ordinary Bill,HEALTH AND FAMILY WELFARE,19 of 2008,7/3/2007,23/4/2008,29/4/2008,16/5/2008,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/785RS1.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/2275ls.pdf,http://164.100.24.219/BillsTexts/RSBillTexts/ERRATA/Errata 210th Session.doc
CXII,2006,"The Foreign Contribution (Regulation) Bill, 2010",Ordinary Bill,HOME AFFAIRS,NA,18/12/2006,19/8/2010,NA,NA,Passed,NA,"http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/CXII-F, Foreign Contribution.pdf",NA
CXI,2006,"The Limited Liability Partnership Bill, 2006.",Ordinary Bill,CORPORATE AFFAIRS,NA,15/12/2006,NA,NA,NA,Withdrawn,NA,NA,NA
LXXX,2006,"The Code of Criminal Procedure (Amendment) Bill, 2008.",Ordinary Bill,HOME AFFAIRS,5 of 2009,23/8/2006,18/12/2008,23/12/2008,7/1/2009,Assented,NA,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/LXXX OF 2006.pdf,NA
XXVIII,2006,"The Administrative Tribunals (Amendment) Bill, 2006.",Ordinary Bill,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",NA,18/3/2006,NA,NA,NA,Withdrawn,NA,NA,NA
XV,2006,"The Representation of the People (Amendment) Bill, 2006.",Ordinary Bill,LAW AND JUSTICE,NA,27/2/2006,NA,NA,NA,Pending,NA,NA,NA
XLII,2006,"The Apprentices (Amendment) Bill, 2007",Ordinary Bill,LABOUR AND EMPLOYMENT,36 of 2005,19/5/2006,30/8/2007,7/9/2007,19/9/2007,Assented,NA,NA,NA
LXII,2006,"The Sashastra Seema Bal Bill, 2007",Ordinary Bill,HOME AFFAIRS,53 of 2007,28/7/2006,28/11/2007,1/12/2007,20/12/2007,Assented,NA,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/Sashastra Seema Bal.pdf,NA
XLIII,2006,"The National Institutes of Technology Bill, 2007",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,29 of 2007,22/5/2006,21/3/2007,14/5/2007,5/6/2007,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XLIII_2006.pdf,NA,NA
LXV,2006,"The Sikkim University Bill, 2006",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,10 of 2007,31/7/2006,13/12/2006,18/12/2006,10/1/2007,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/lxv_2006.pdf,NA,NA
LXIV,2006,"The Tripura University Bill, 2006",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,9 of 2007,31/7/2006,13/12/2006,18/12/2006,10/1/2007,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXIV_2006.pdf,NA,NA
LXIII,2006,"The Rajiv Gandhi University Bill, 2006",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,8 of 2007,31/7/2006,13/12/2006,18/12/2006,10/1/2007,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/LXIII_2006.pdf,NA,NA
XXVI,2006,"The English and Foreign Languages University Bill, 2006",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,7 of 2007,20/3/2006,5/12/2006,12/12/2006,10/1/2007,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXVI_2006.PDF,NA,NA
CX,2006,"The Administrative Tribunals (Amendment) Bill, 2006",Ordinary Bill,"PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",1 of 2007,14/12/2006,14/12/2006,18/12/2006,29/12/2006,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/CX_2006.pdf,NA,NA
CII,2006,"The Indian Rifles (Repeal) Bill, 2006",Ordinary Bill,HOME AFFAIRS,49 of 2006,27/11/2006,30/11/2006,8/12/2006,17/12/2006,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/CII_ 2006.pdf,NA,NA
LXX,2006,"The Constitution (Scheduled Tribes) Order Amendment Bill, 2006",Ordinary Bill,TRIBAL AFFAIRS,48 of 2006,31/7/2006,27/11/2006,4/12/2006,12/12/2006,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/lxx_2006.pdf,NA,NA
XXX,2006,"The Assam Rifles Bill, 2006",Ordinary Bill,HOME AFFAIRS,47 of 2006,21/3/2006,16/5/2006,3/8/2006,3/11/2006,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXX_2006.pdf,NA,NA
XXIX,2006,"The Code of Criminal Procedure (Amendment) Amending Bill, 2006",Ordinary Bill,HOME AFFAIRS,25 of 2006,21/3/2006,16/5/2006,19/5/2006,2/6/2006,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXIX_2006.PDF,NA,NA
XXIV,2006,"The Companies (Amendment) Bill, 2006",Ordinary Bill,COMPANY AFFAIRS,23 of 2006,6/3/2006,21/3/2006,15/5/2006,29/5/2006,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XXIV_2006.PDF,NA,NA
XIII,2006,"The Government of Union Territories and the Government of National Capital Territory of Delhi(Amendment) Bill, 2005",Ordinary Bill,HOME AFFAIRS,5 of 2006,20/2/2006,24/2/2006,1/3/2006,2/3/2006,Assented,http://164.100.24.219/BillsTexts/RSBillTexts/asintroduced/XIII_2006.pdf,NA,NA
CXXVII,2005,"THE PREVENTION AND CONTROL OF INFECTIOUS AND CONTAGIOUS DISEASES IN ANIMALS BILL, 2009",Ordinary Bill,AGRICULTURE,27 of 2009,21/12/2005,16/12/2008,20/2/2009,20/3/2009,Assented,NA,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/pre and control.pdf,NA
LXXXV,2005,"The Labour Laws (Exemption from Furnishing Returns and Maintaing Registers by Certain Establishments) Amendment and Miscellaneous Provisions Bill, 2005.",Ordinary Bill,LABOUR AND EMPLOYMENT,NA,22/8/2005,NA,NA,NA,Withdrawn,NA,NA,NA
CXV,2005,"The Communal Violence (Prevention, Control and Rehabilitation of Victims) Bill, 2005.",Ordinary Bill,HOME AFFAIRS,NA,5/12/2005,NA,NA,NA,Pending,NA,NA,NA
LXXXVI,2005,"The Indian Medical Council (Amendment) Bill, 2005.",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,23/8/2005,NA,NA,NA,Withdrawn,NA,NA,NA
LXXIX,2005,"The Indian Medicine and Homoeopathy Pharmacy Bill, 2005.",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,12/8/2005,NA,NA,NA,Pending,NA,NA,NA
LIV,2005,"The Drugs and Cosmetics (Amendment) Bill, 2008.",Ordinary Bill,HEALTH AND FAMILY WELFARE,26 of 2008,10/5/2005,21/10/2008,23/10/2008,5/12/2008,Assented,NA,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/Drugs Act LIV of 2005.pdf,NA
XLII,2005,"The Indian Medicine Central Council (Amendment) Bill, 2005.",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,23/3/2005,NA,NA,NA,Pending,NA,NA,NA
XXX,2005,"The Standards of Weights and Measures (Amendment) Bill, 2005.",Ordinary Bill,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",NA,10/3/2005,NA,NA,NA,Withdrawn,NA,NA,NA
XLIII,2005,"The Homoeopathy Central Council (Amendment) Bill, 2005.",Ordinary Bill,HEALTH AND FAMILY WELFARE,NA,23/3/2005,NA,NA,NA,Pending,NA,NA,NA
XXIX,2005,"The Standards of Weights and Measures (Enforcement) Amendment) Bill, 2005.",Ordinary Bill,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",NA,10/3/2005,NA,NA,NA,Withdrawn,NA,NA,NA
CI,2005,"The Manipur University Bill, 2005",Ordinance Replacing Bill,HUMAN RESOURCE DEVELOPMENT,54 of 2005,25/11/2005,30/11/2005,13/12/2005,28/12/2005,Assented,NA,NA,NA
CXXVI,2005,"The Inland Vessels (Amendment) Bill, 2007",Ordinary Bill,"SHIPPING, ROAD TRANSPORT AND HIGHWAYS",35 of 2005,8/12/2005,22/8/2007,30/8/2007,17/9/2007,Assented,NA,NA,NA
CXXIV,2005,"The Carriage by Road Bill, 2007",Ordinary Bill,"SHIPPING, ROAD TRANSPORT AND HIGHWAYS",41 of 2007,7/12/2005,7/9/2007,10/9/2007,29/9/2007,Assented,NA,NA,NA
CXXIX,2005,"The Armed Forces Tribunal Bill, 2007",Ordinary Bill,DEFENCE,55 of 2007,20/12/2005,3/12/2007,6/12/2007,25/12/2007,Assented,NA,http://164.100.24.219/BillsTexts/RSBillTexts/PassedBothHouses/Armed Forces Tr. Bill.pdf,NA
CXXVIII,2005,"The Essential Commodities (Amendment) Bill, 2006",Ordinary Bill,AGRICULTURE,54 of 2006,20/12/2005,21/8/2006,28/11/2006,24/12/2006,Assented,NA,NA,NA
CXXV,2005,"The Protection of Human Rights (Amendment) Bill, 2006",Ordinary Bill,HOME AFFAIRS,43 of 2006,8/12/2005,3/8/2006,24/8/2006,13/9/2006,Assented,NA,NA,NA
LXXXVIII,2005,"The Central Silk Board (Amendment) Bill, 2006",Ordinary Bill,TEXTILES,42 of 2006,30/8/2005,14/8/2006,22/8/2006,13/9/2006,Assented,NA,NA,NA
CXXXI,2005,"The Wild Life (Protection) Amendment Bill, 2006",Ordinary Bill,ENVIRONMENT AND FORESTS,39 of 2006,23/12/2005,22/8/2006,25/8/2006,3/9/2006,Assented,NA,NA,NA
CXXXIII,2005,"The Spirituous Preparations (Inter-State Trade and Commerce) Control (Repeal) Bill, 2006",Ordinary Bill,AGRICULTURE,32 of 2006,23/12/2005,15/5/2006,3/8/2006,22/8/2006,Assented,NA,NA,NA
CXXXII,2005,"The National Institute of Fashion Technology Bill, 2006",Ordinary Bill,TEXTILES,28 of 2006,23/12/2005,16/5/2006,22/5/2006,13/7/2006,Assented,NA,NA,NA
XXXVIII,2005,"The Hire Purchase (Repeal) Bill, 2005.",Ordinary Bill,NA,31 of 2005,21/3/2005,20/4/2005,13/5/2005,23/6/2005,Assented,NA,NA,NA
LXXXVII,2005,"The National Commission for Minority Educational Institutions (Amendment) Bill, 2006",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,18 of 2006,23/8/2005,1/3/2006,10/3/2006,28/3/2006,Assented,NA,NA,NA
LXXXIV,2005,"The Sree Chitra Tirunal Institute or Medical Sciences and Technology, Trivandrum (Amendment) Bill, 2005.",Ordinary Bill,SCIENCE AND TECHNOLOGY,40 of 2005,8/8/2005,12/8/2005,29/8/2005,5/9/2005,Assented,NA,NA,NA
LXXVIII,2005,"The Immigration (Carrier`s Liability) Amendment Bill, 2005.",Ordinary Bill,HOME AFFAIRS,44 of 2005,8/8/2005,12/8/2005,29/8/2005,15/9/2005,Assented,NA,NA,NA
LXXVII,2005,"The Warehousing Corporations (Amendment) Bill, 2005.",Ordinary Bill,AGRICULTURE,45 of 2005,8/8/2005,23/8/2005,29/8/2005,15/9/2005,Assented,NA,NA,NA
LXXV,2005,"The Citizenship (Amendment) Bill, 2005.",Ordinance Replacing Bill,HOME AFFAIRS,32 of 2005,26/7/2005,29/7/2005,16/8/2005,24/8/2005,Assented,NA,NA,NA
LV,2005,"The Disaster Managment Bill, 2005",Ordinary Bill,HOME AFFAIRS,53 of 2005,11/5/2005,28/11/2005,12/12/2005,23/12/2005,Assented,NA,NA,NA
LIII,2005,"The Manipur University Bill, 2005",Ordinary Bill,HUMAN RESOURCE DEVELOPMENT,NA,4/5/2005,NA,NA,NA,Withdrawn,NA,NA,NA
LI,2005,"The Private Security Agencies (Regulation) Bill, 2005.",Ordinary Bill,HOME AFFAIRS,29 of 2005,21/4/2005,10/5/2005,12/5/2005,23/6/2005,Assented,NA,NA,NA
CXXX,2005,"The Petroleum and natural gas Regulatory Board Bill, 2006",Ordinary Bill,PETROLEUM AND NATURAL GAS,19 of 2006,21/12/2005,2/3/2006,21/3/2006,31/3/2006,Assented,NA,NA,NA
CXXIII,2005,"The Company Secretaries (Amendment) Bill, 2006",Ordinary Bill,COMPANY AFFAIRS,8 of 2006,6/12/2005,13/12/2005,23/12/2005,17/3/2006,Assented,NA,NA,NA
CXXII,2005,"The Cost and Works Accountants (Amendment) Bill, 2006",Ordinary Bill,COMPANY AFFAIRS,7 of 2006,6/12/2005,13/12/2005,23/12/2005,17/3/2006,Assented,NA,NA,NA
CXXI,2005,"The Chartered Accountants (Amendment) Bill, 2006",Ordinary Bill,COMPANY AFFAIRS,9 of 2006,6/12/2005,13/12/2005,23/12/2005,22/3/2006,Assented,NA,NA,NA
LII,2004,"The Seeds Bill, 2004",Ordinary Bill,AGRICULTURE,NA,9/12/2004,NA,NA,NA,Pending,NA,NA,NA
